nome,cpf,beneficio,estado_civil,sexo,nome_mae,nome_pai,email,cep,rua,uf,numero,bairro,numero_conta,dv_conta,agencia,dv_agencia
Nicolas Silva,61348461511,3542029525,V,M,Bárbara Martins,Brayan Garcia,abreuraquel@example.net,79764-879,Rodovia Nogueira,MS,34,Flavio Marques Lisboa,5252961577,9,2631,8
Vitor Hugo Nunes,7976821476,250768536,V,M,Fernanda Alves,Ravi Lucca Dias,montenegrosamuel@example.org,59460-175,Praça Maria Julia Fogaça,AP,49,São Sebastião,7546967376,4,3262,0
Dra. Mariane Silveira,7588914805,736016153,V,M,Bárbara Gomes,Guilherme Oliveira,mendoncacaue@example.net,90823168,Trevo Montenegro,ES,855,Prado,2689590402,7,3975,6
Nicole Moraes,56293534604,3123587843,C,F,Ana Luiza da Mata,João Lucas Silveira,allana85@example.org,20780-007,Pátio de Novaes,PI,69,Jardim Felicidade,2543478224,7,5451,5
José Pedro Santos,87156608797,9675619553,V,M,Mariane Guerra,João Guilherme Camargo,luccaabreu@example.com,35119378,Feira de Oliveira,RN,58,Baleia,7390450001,7,9829,0
Dr. Rhavi Mendonça,77205558769,4299918507,D,M,Heloísa Gomes,Lorenzo Rodrigues,heitor51@example.org,73709-792,Sítio da Rocha,PE,28,Conjunto Bonsucesso,8459321142,9,4923,0
Eloah Casa Grande,87512571605,4334968332,V,M,Allana Alves,Enzo Sampaio,jade39@example.net,75032993,Morro de Alves,MA,88,Miramar,4834329421,1,4949,2
Olívia da Rocha,64659776395,1263293391,D,F,Maria Moura,Arthur Miguel Camargo,jose-miguelaparecida@example.org,85480-059,Quadra de das Neves,MT,62,Savassi,2125514739,5,3629,5
Leandro Sousa,40866308157,9076382659,D,F,Ana da Mata,Luiz Gustavo Nascimento,pereiraana-clara@example.net,39601-363,Avenida Barros,MS,31,Vila Pilar,2757906038,0,6763,3
Srta. Maya Monteiro,14007305723,4277724651,S,F,Ana Vitória Teixeira,João Barbosa,ian43@example.org,40268128,Fazenda de da Mota,ES,1,Xangri-Lá,3400122848,6,6532,8
Srta. Beatriz Cardoso,40476251913,8511795453,D,M,Ágatha Lopes,Henrique Castro,diegoandrade@example.net,58600772,Praia Sá,ES,8,União,732034271,3,1724,8
Dra. Eduarda Nascimento,82520984037,9280071383,S,M,Cecília Santos,Dr. Brayan Vargas,mayabrito@example.org,13195284,Estrada Melissa Nogueira,DF,93,Parque São José,7818420319,9,8952,4
Melissa Vargas,47247002281,4307483231,D,F,Maria Luísa Jesus,Pedro Barbosa,lorenzo52@example.org,03230144,Condomínio Clara Barros,RJ,265,Nazare,6056448622,6,9686,0
Sra. Lívia Abreu,83761860282,3594534715,V,F,Maya Campos,Emanuel Gomes,da-luzian@example.org,08746422,Lagoa Davi Oliveira,MS,678,Primeiro De Maio,8655624900,4,2501,8
Juliana Cavalcanti,69593515390,567467351,C,F,Luísa Duarte,Luigi Campos,lorenzo18@example.org,25930-360,Colônia de Aragão,RR,69,Santa Cruz,3085073372,7,6902,0
João Lucas Garcia,98903472955,9564850795,V,M,Stephany Pastor,Sr. Théo Correia,julia68@example.com,69737-482,Conjunto Alves,SC,13,Alípio De Melo,4194638294,9,1486,6
Rael Cavalcanti,6862190681,7491548551,S,F,Ísis Viana,Sr. Joaquim Rocha,efarias@example.net,42145162,Parque Natália Moreira,PI,7,Santa Cecilia,4001470196,2,8918,0
Eduarda da Costa,92000337364,7310585482,V,M,Milena das Neves,Nicolas Vargas,goncalvescaleb@example.com,06578-770,Rua Borges,PB,49,Pompéia,8059470764,2,4880,4
Júlia Pires,68048060185,1328021525,D,F,Luna Barbosa,Oliver Camargo,zcamargo@example.net,34069-893,Via Arthur Miguel Pimenta,SE,3,Vila Santa Monica 2ª Seção,5711015066,8,600,1
Alana Jesus,4399737160,4171994641,S,F,Ágatha da Mota,Vitor Nunes,da-matalara@example.com,35599-131,Trevo de Moreira,PE,88,Alípio De Melo,7463120023,3,9929,3
Marcela Câmara,83250702606,9423868896,V,M,Ágatha Melo,Ravi Pacheco,vitor-gabriel18@example.com,41614937,Morro Cavalcante,CE,5,Ventosa,65931994,7,5235,5
Kamilly Garcia,439897594,5677431538,V,M,Juliana Leão,Murilo Fogaça,naraujo@example.net,78732-227,Trecho Duarte,PB,25,Bonfim,1910841468,4,9397,6
Ayla Cirino,24182415290,6057058629,D,M,Maria Clara Teixeira,Cauã Oliveira,leticiada-rocha@example.com,45240-109,Esplanada Vitor Vasconcelos,MT,2,Nova Gameleira,7267361920,9,6908,9
Stephany Rodrigues,76852940881,9186165808,D,M,Lara Souza,Dr. Calebe Sá,catarinapeixoto@example.net,59565791,Condomínio Teixeira,RJ,93,Barro Preto,2304017239,2,3038,8
Dr. João Vitor Leão,38602370169,4747600339,C,M,Maria Alice Sampaio,Miguel da Luz,valentina30@example.com,13022781,Trecho da Paz,PB,92,Antonio Ribeiro De Abreu 1ª Seção,601950147,3,3866,0
Maria Luiza Moreira,96039762740,2148281293,S,M,Isabelly Camargo,Emanuel Ribeiro,maria-ceciliavargas@example.com,00057879,Travessa Barbosa,TO,32,Jatobá,3262792710,7,1786,7
Amanda Cavalcante,71967371685,6594596831,C,M,Isis Martins,Gael Henrique da Luz,zoe35@example.net,88722173,Setor da Mata,SC,3,São Francisco Das Chagas,9869616486,9,5777,8
Emanuel Silveira,28359925920,9187449416,C,M,Maria Júlia Leão,Lorenzo Carvalho,rfonseca@example.com,00773-330,Estação Mendonça,PE,244,Flavio Marques Lisboa,246958943,0,1791,6
Maria Helena Duarte,78493639589,286700647,C,F,Stephany Silva,Bento Fogaça,clopes@example.org,49597166,Trevo Albuquerque,SP,36,Aguas Claras,2446707143,4,2795,6
Luiz Henrique Barbosa,66711471011,2637847998,S,M,Maysa Peixoto,Miguel da Mota,qsampaio@example.com,52907874,Praça de da Rocha,TO,592,Vila Paraíso,8732681705,9,115,2
Asafe Gonçalves,13201741424,846054646,D,F,Maria Luiza Pereira,Sr. Pietro Rezende,ryan06@example.com,47658-361,Alameda de da Costa,SC,51,Varzea Da Palma,2596824047,3,1569,3
Oliver Azevedo,95242021665,7714992254,C,F,Maria Liz Montenegro,Isaque Vargas,yannogueira@example.org,76759378,Vale Garcia,AC,42,Guaratã,7566123496,0,8940,9
Dr. Arthur Miguel Albuquerque,30381240632,8220558372,V,F,Srta. Ana Laura Aragão,Antônio Jesus,antony58@example.com,30182-413,Rua de Rezende,CE,18,Mangueiras,6379792014,3,81,4
João Gabriel Ramos,49304435879,2142528592,V,F,Gabriela Pereira,Rhavi Cavalcante,aaparecida@example.org,35422-181,Passarela Clara Alves,PA,8,Alípio De Melo,5889020565,6,9438,2
Vitória Aparecida,31396099607,177852588,V,F,Bruna Melo,Theodoro Costela,eloa53@example.com,26303-401,Condomínio Lívia Andrade,AP,36,Colégio Batista,181676746,2,2095,3
Yasmin Silveira,49904665136,3787410899,V,M,Maria Cecília Vasconcelos,Ravi Lucca Farias,lopesagatha@example.com,55555-045,Pátio Miguel Mendonça,DF,503,Vila São João Batista,1954818711,1,9109,6
Dr. Mateus Abreu,86477835343,7124863173,C,F,Ana Sophia Rios,Gael Campos,enricovargas@example.org,06193803,Residencial Silveira,BA,8,Vila Copacabana,6544124093,4,4881,6
Henry Gabriel Cirino,36109625830,6772048953,S,F,Allana Silveira,Igor Rodrigues,naragao@example.com,28904-772,Parque de Nogueira,AM,18,Belmonte,5584916691,3,4424,6
Pedro Henrique Barros,86271336849,5436115252,D,M,Pietra Moreira,Samuel da Mata,ecirino@example.net,36449427,Praça Ferreira,MT,411,Vista Alegre,8531585322,0,8046,3
Vinícius Sales,22199095026,602181170,C,M,Camila Freitas,Sr. João Vitor Melo,knogueira@example.net,15502864,Lago Cardoso,RN,69,Vila Boa Vista,3301805360,1,3340,9
